Source:,G:\???œë¼?´ë¸Œ\0. parkjani2 DRIVE\ì°¸ì—¬ PROJECT\?„ë¡œ?íŠ¸\2021 ì¡¸í”„\2021_ì¡¸í”„_workspace(shared)\PCB - inverter\inverter_IPM\inverter_IPM - 4layer\inverter_IPM.sch,,,,,,
Date:,2021-03-22 ?¤ì „ 11:46:58,,,,,,
Tool:,Eeschema (5.1.8)-1,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,144,,,,,,
Ref,Qnty,Value,Cmp name,man#,Footprint,Description,Vendor
"C1, C5, C17, C24, C33, C37, C38, C41, C44, C47, C48, C51, C53, C56, C61, ",15,1nF/2KV,C_Small,C1206C102KGRACTU,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C2, C58, ",2,330uF/100V,CP1_Small,UVR2A331MHD,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,"Polarized capacitor, small US symbol",
"C3, C59, ",2,1uF,C_Small,C3216X7R2A105K160AA,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C4, C49, C62, C64, ",4,10uF/25V,C_Small,TMK212BC6106KG-T,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C6, ",1,2.2mF,CP1,SLPX222M100E3P3,Capacitor_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn,"Polarized capacitor, US symbol",
"C7, C8, ",2,100uF/16V,CP1_Small,F931C107MCC,Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,"Polarized capacitor, small US symbol",
"C9, C16, C18, C19, C20, C21, C23, C25, C27, C28, C29, C30, C32, C34, C36, C40, C43, C52, C54, C63, ",20,100nF,C_Small,HMF316B7104KLHT,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C10, ",1,8.2pF,C_Small,C1206C829D5GACTU,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C11, ",1,47uF,CP1_Small,A768KS476M1JLAE031,Capacitor_SMD:CP_Elec_8x11.9,"Polarized capacitor, small US symbol",
"C12, C13, C14, ",3,2.2uF,C_Small,HMK325BJ225KM-P,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,"Unpolarized capacitor, small symbol",
"C15, ",1,750pF,C_Small,C1206C751J5GACTU,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C22, C31, C35, C57, C60, ",5,10uF/100V,C_Small,GRM32EC72A106KE05L,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,"Unpolarized capacitor, small symbol",
"C26, C42, ",2,100uF/100V,CP1_Small,EEU-FR2A101,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,"Polarized capacitor, small US symbol",
"C39, ",1,1nF/2kV,C_Small,C1206C102KGRACTU,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,"Unpolarized capacitor, small symbol",
"C45, ",1,10nF,C_Small,GRM2195C1H103JA01D,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C46, C50, C55, ",3,2.2pF,C_Small,VJ0805A2R2BXACW1BC,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"D1, ",1,VFT2080S-E3/4W,D_Schottky_AKA,VFT2080S-E3/4W,Package_TO_SOT_THT:TO-220-3_Vertical,"Schottky diode, anode on pins 1 and 3",
"D2, D3, D4, D5, ",4,SMAZ22-TP,D_Zener_Small,SMAZ22-TP,Diode_SMD:D_SMA_Handsoldering,"Zener diode, small symbol",
"J1, ",1,PinHeader01x03,Conn_01x03,PinHeader01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, J3, ",2,BR-1300C-6P,Conn_01x06,BR-1300C-6P,j_terminal:BR-1300C-6P,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J4, ",1,MOLEX01x03,Conn_01x03,MOLEX_5267-03,Connector_Molex:Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J5, ",1,MOLEX01x05,Conn_01x05,MOLEX_5267-05,Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J6, J8, J9, ",3,SMA,Conn_Coaxial,SMA,Connector_Coaxial:SMA_Amphenol_132203-12_Horizontal,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",
"J7, ",1,JST8P,Conn_01x08,JST8P,Connector_JST:JST_VH_B8P-VH-B_1x08_P3.96mm_Vertical,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J10, ",1,MOLEX_01X05,Conn_01x05,molex-01x05,Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J11, ",1,Hirose_HIF3BA_30PA_2.54DSA,Conn_02x15_Odd_Even,,Connector_PinSocket_2.54mm:PinSocket_2x15_P2.54mm_Vertical,"Generic connector, double row, 02x15, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
"J12, ",1,PinHeader01x02,Conn_01x02,pinheader 01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J13, ",1,HIF3 2X5,Conn_02x05_Odd_Even,HIF3 2X5,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
"K1, ",1,ADJH21012,ADJH21012,ADJH21012,j_power_switch:Panasonic-ADJH21012-MFG,ADJH21012,
"L1, L3, ",2,4.7uH,L_Small,NRS5024T4R7MMGJV,Inductor_SMD:L_Taiyo-Yuden_NR-50xx,"Inductor, small symbol",
"L2, ",1,"15uH, Irms>5A",L,IHLP6767GZER150M01,Inductor_SMD:L_Vishay_IHLP-6767,Inductor,
"R1, ",1,442k,R_Small,HV732BTTD4423F,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R2, ",1,90.9k,R_Small,CRCW121090K9FKEA,Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,"Resistor, small symbol",
"R3, ",1,215k,R_Small,CRCW1206215KFKEA,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R4, ",1,205k,R_Small,CRCW1206205KFKEA,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R5, ",1,44.2k,R_Small,ERA-8AEB4422V,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R6, ",1,12.1k,R_Small,ERA-8AEB1212V,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R7, R11, R15, R17, R20, R22, R23, ",7,100,R_Small,CHP0805AFX-1000ELF,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R8, R9, R10, R12, R13, R14, R19, R34, R35, R36, R37, R38, R39, ",13,1k,R_Small,CMP2010AFX-1001ELF,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,"Resistor, small symbol",
"R16, ",1,5k,R_Small,CRCW08055K00FKTA,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R18, ",1,24,R_Small,RK73H2ATTD24R0F,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R21, ",1,249,R_Small,RK73H2ATTD2490F,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R24, R27, R28, R31, ",4,24k,R_Small,CR1206-JW-243ELF,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R25, R26, R29, R30, ",4,12k,R_Small,CRCW120612K0FKEAC,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R32, ",1,1M,R_Small,ERA-8AED105V,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"R33, ",1,68k,R_Small,CRCW120668K0FKEAHP,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,"Resistor, small symbol",
"S1, ",1,EG2219,EG2219,EG2219,j_switch:SW_EG2219,,
"U1, ",1,PDQE10-Q48-S5-D,PDQE10-Q48-S5-D,PDQE10-Q48-S5-D,PDQE10:CONV_PDQE10-Q48-S5-D,,
"U2, ",1,SPX1587AT-3.3,AZ1117-5.0,SPX1587AT-3.3,Package_TO_SOT_SMD:TO-263-3_TabPin4,"1A 20V Fixed LDO Linear Regulator, 5.0V, SOT-89/SOT-223/TO-220/TO-252/TO-263",
"U3, ",1,LAUNCHXL_F28379D,LAUNCHXL_F28379D,LAUNCHPAD_F28379D,j_modules:LAUNCHXL_F28379D,,
"U4, ",1,TPS54560BDDA,TPS54560BDDA,TPS54560BDDA,j_regulator_switching:NOPB,,
"U5, ",1,NFAL5065L4B-New_Library,NFAL5065L4B-New_Library,NFAL5065L4B,j_IPM:NFAL5065L4B,,
"U6, U7, U8, U10, U11, U12, U13, ",7,TLP2748,TLP2748,TLP2748,Package_SO:SO-6L_10x3.84mm_P1.27mm,"10-Mbps inverting photocouple,5 kVrms, 4.5 - 30 Vdd, push-pull output, SO-6L",
"U9, ",1,PDQE10-Q48-D15-D,PDQE10-Q48-D15-D,PDQE10-Q48-D15-D,PDQE10:CONV_PDQE10-Q48-D15-D,,
"U14, U16, ",2,LM358,LM358,LM358,Package_SO:SO-8_3.9x4.9mm_P1.27mm,opamp,
"U15, U17, U18, ",3,wcs1800,wcs1800,wcs1800,j_current_sensor:wcs1x00-xxxx,,
